,Place Name,Place ID,Latitude,Longitude,Rating,Types,Vicinity,Price Level,URT
111,مطعم نعيم ابو الكص,ChIJue3dFsttWRUR6DR2OJD0T8k,32.6262874,44.04208209999999,4.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","J2GR+GR8, Karbala",2,4
112,مطعم قاسم ابوالمعلاك,ChIJ1-fXoZ9pWRUR1GndpubgNFw,32.5960824,44.016962,4.8,"['restaurant', 'food', 'point_of_interest', 'establishment']","قرب مأكولات بيري بيري أهلا وسهلا بكم في موقعنا الجديد، شارع حي الحسين, Karbala",2,4
113,ماكولات الرحاب,ChIJa6nQSkNrWRURQ3bhkPol6C8,32.6173311,44.0372882,0.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","J28P+WWF, Karbala",2,0
114,مطعم ركن المندي,ChIJCWXpzsRrWRURvYTz4xiCiUs,32.6002537,44.0318748,3.8,"['restaurant', 'food', 'point_of_interest', 'establishment']","J22J+4P5, Karbala",2,25
115,مطعم مدينة الزائرين,ChIJcaFj9eFrWRURUpu0VZFMVBc,32.6199416,44.0362331,4.1,"['restaurant', 'food', 'point_of_interest', 'establishment']","J29P+RJ6, Karbala",2,7
116,مطعم البيت الشرقي,ChIJ22Z6NqhrWRUR_iEPTApc0FI,32.612296,44.0355845,4.3,"['restaurant', 'food', 'point_of_interest', 'establishment']","الفرع المقابل للبريد كربلاء, شارع العباس",2,3
117,مطعم الحاج علي يوسف,ChIJIznzV9tpWRUR-E7VqjY_inA,32.6345466,43.9900503,4.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","JXMR+R2G, Karbala",2,462
118,مطعم اصل القيمة,ChIJRfOooWZrWRURrKjW8qw2KgU,32.5863125,44.0389375,5.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","H2PQ+GH8, Karbala",2,1
119,مطعم باجة bacha,ChIJOd_vEdJrWRURJ54LhQ91cX8,32.6131629,44.0353576,4.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","J27P+749, Karbala",2,7
120,ماكولات فاطمة (ع),ChIJxY9FnFFpWRURdCFsAyx0908,32.6221528,43.9884362,4.5,"['restaurant', 'food', 'point_of_interest', 'establishment']","JXCQ+V97, Karbala",2,2
121,ماكولات سعد,ChIJeXZBS0lrWRUR_-JC1h0GRzI,32.6150168,44.0364469,4.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","كربلاء الفسحه،, Bab Al-khan, Karbala",2,2
122,مأكولات مستر بن,ChIJqbvo4DhpWRURaKrIKV_X-As,32.595735,44.0081155,5.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","H2W5+76P، التحدي، كربلاء،, Karbala",2,9
123,مأكولات أبو غيث,ChIJ01akZyRqWRURIHQT92b-uh4,32.5780108,44.0265637,3.7,"['restaurant', 'food', 'point_of_interest', 'establishment']","H2HG+6J3, Karbala",2,74
124,ماكولات السيد للاكلات السريعة,ChIJh0wHHN1rWRUR-dGrcTdk8fk,32.62156,44.0374364,4.3,"['restaurant', 'food', 'point_of_interest', 'establishment']","Unnamed Road, Karbala 56001",2,10
125,مأكولات هم هم,ChIJW8KLcuVpWRUR0y9hGd4eQXA,32.5974676,44.0029181,3.6,"['restaurant', 'food', 'point_of_interest', 'establishment']",كربلاء، 56001،,2,5
126,ماكولات الارض الطيبه,ChIJcywohLppWRURaqapzm44-Zc,32.6067488,44.0126667,0.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",جسر مشاة حي رمضان، كربلاء 56001،,2,0
127,مأكولات نور فاطمة,ChIJ7y-a4NxrWRURbg9zZfth1w0,32.605844,44.0274632,3.9,"['restaurant', 'food', 'point_of_interest', 'establishment']","J24G+8XW, Karbala",2,281
128,ماكولات الرحاب,ChIJa6nQSkNrWRURQ3bhkPol6C8,32.6173311,44.0372882,0.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","J28P+WWF, Karbala",2,0
129,King food (كنك فود),ChIJ64wD84ANWRURWSyTVA-TB-0,32.665543,44.1541315,3.7,"['restaurant', 'food', 'point_of_interest', 'establishment']","قضاء الحسينية - بلدية الحسينية, Karbala",2,28
